Road_ID,Length,Number_of_bends,Traffic_Volume,Accident_Risk
1,Medium,Less,Low,No
2,Short,More,Low,Yes
3,Medium,Less,Medium,No
4,Long,More,Low,No
5,Medium,Less,High,No
6,Long,More,Medium,Yes
7,Long,More,Low,Yes
8,Medium,Less,High,No
9,Medium,Less,Medium,Yes
10,Long,More,Low,No
11,Long,Less,Low,No
12,Medium,More,Low,No
13,Medium,Less,High,Yes
14,Short,More,High,Yes
15,Long,More,Medium,No
16,Medium,Less,Low,No
17,Short,Less,Medium,Yes
18,Medium,More,Low,No
19,Long,Less,Medium,No
20,Medium,More,Low,No
21,Long,Less,High,Yes
22,Long,More,Medium,Yes
23,Medium,More,Low,No
24,Medium,Less,High,Yes
25,Long,Less,Medium,No
26,Long,More,Low,No
27,Medium,Less,Low,No
28,Medium,More,Low,Yes
29,Short,Less,High,Yes
30,Long,More,High,No
