Place_ID,Area,Number_of_Ponds,Number_of_Canals,Flood_Alert
1,Rural,23,2,No
2,Rural,32,3,Yes
3,Urban,12,6,No
4,Rural,27,2,No
5,Urban,10,3,No
6,Urban,7,5,Yes
7,Urban,13,4,Yes
8,Rural,44,3,No
9,Rural,24,1,Yes
10,Urban,11,5,No
11,Rural,32,3,No
12,Rural,27,5,No
13,Rural,22,7,Yes
14,Urban,10,5,Yes
15,Urban,23,3,No
16,Urban,10,5,No
17,Rural,12,8,Yes
18,Rural,27,9,No
19,Urban,10,3,No
20,Rural,7,2,No
21,Urban,13,5,Yes
22,Urban,44,3,Yes
23,Urban,24,6,No
24,Rural,11,7,Yes
25,Rural,32,3,No
26,Urban,11,6,No
27,Rural,22,8,No
28,Rural,10,2,Yes
29,Rural,23,4,Yes
30,Urban,17,5,No
